Page ID,Categories,Year of First Edit,Edit Counts,Page Views,Number of Words,Number of Images
0,3,2001,79,59177,2828,5
1,3,2001,244,157576,6228,14
2,3,2004,50,106423,1883,4
3,3,2002,80,192521,4551,9
4,3,2004,34,9943,1173,3
5,6,2004,11,6553,1107,4
6,3,2001,500,323461,7055,22
7,3,2002,124,229728,7891,19
8,3,2003,35,26663,4535,6
9,4,2001,135,165652,8539,42
10,6,2001,88,114508,7677,30
11,4,2001,174,118314,4890,36
12,3,2001,113,89925,6420,36
13,3,2004,56,30307,2457,6
14,3,2002,54,58566,2595,12
15,3,2005,24,28400,545,12
16,1,2001,500,2464520,17597,144
17,4,2001,194,105346,7915,27
18,5,2001,260,258292,9816,57
19,4,2001,195,114660,3920,20
20,4,2002,87,212578,8410,41
21,3,2006,28,15639,1771,3
22,4,2001,191,117951,1253,15
23,3,2001,53,33560,809,5
24,3,2001,55,94861,2147,20
25,2,2001,245,267007,6548,33
26,3,2002,40,26446,605,0
27,6,2018,50,7129,525,2
28,3,2005,198,185560,7344,38
29,4,2001,500,462387,7384,50
30,4,2001,275,423995,7740,37
31,4,2001,65,186619,8259,34
32,6,2001,39,128561,6968,41
33,6,2001,205,274852,5117,58
34,3,2003,54,144186,2049,8
35,3,2001,346,152969,4535,11
36,3,2005,65,75128,2453,7
37,3,2001,103,97838,2938,9
38,3,2001,478,177465,5869,20
39,3,2001,86,164231,2827,8
40,3,2004,50,100567,1644,7
41,3,2004,14,42609,516,2
42,1,2001,500,1550913,17473,93
43,3,2001,61,165517,3225,18
44,3,2004,51,61824,2912,10
45,3,2004,19,14940,608,0
46,2,2004,12,7754,1137,10
47,3,2002,132,81758,6350,13
48,3,2006,13,12625,624,2
49,3,2003,80,68176,5611,13
50,3,2002,112,35506,5859,14
51,1,2001,500,1113846,9610,55
52,1,2001,401,417567,12900,146
53,4,2002,167,80075,1616,23
54,3,2005,19,28748,1763,6
55,3,2004,31,62190,1729,4
56,3,2004,61,52999,1252,3
57,1,2001,248,170225,10813,74
58,2,2004,13,9531,255,2
59,6,2006,23,6207,451,2
60,6,2002,194,135101,3941,19
61,5,2004,48,13347,951,6
62,5,2008,9,1722,329,1
63,6,2001,407,115388,5222,33
64,1,2001,312,100840,11792,99
65,6,2004,23,8722,2855,1
66,4,2001,204,96815,2157,26
67,2,2003,275,169821,8799,43
68,2,2001,248,625583,7838,27
69,6,2002,155,86157,8781,58
70,2,2002,405,345511,11120,35
71,4,2001,51,82784,4565,25
72,5,2004,500,1533982,13705,75
73,1,2001,500,163869,11814,91
74,1,2002,91,20414,4083,28
75,5,2001,181,428980,9242,44
76,6,2004,457,1367929,6810,36
77,6,2007,32,10930,2663,6
78,2,2001,461,651107,17523,51
79,5,2001,248,914877,12515,29
80,1,2002,69,26624,2922,18
81,1,2003,139,72831,3283,24
82,1,2004,8,1329,212,8
83,6,2008,7,184,465,0
84,2,2007,16,849,1150,10
85,4,2003,103,52620,3915,14
86,6,2002,11,1968,1857,4
87,4,2004,20,14371,1783,25
88,6,2007,13,3303,685,4
89,6,2009,11,1537,634,3
90,5,2005,20,1415,1920,10
91,6,2005,500,2780456,14041,135
92,5,2001,500,752495,14535,89
93,1,2002,53,8316,2476,11
94,4,2002,103,86645,2138,23
95,1,2001,297,134390,8443,60
96,1,2005,0,378,500,2
97,1,2002,311,32486,4772,142
98,6,2008,37,74443,1065,3
99,1,2002,10,1013,1139,11
100,1,2001,146,258555,6853,46
101,4,2005,65,10256,1072,7
102,4,2006,80,17003,1029,7
103,2,2004,44,14465,1658,4
104,2,2004,36,6493,3201,2
105,1,2003,58,38922,5145,53
106,2,2003,14,11555,1066,2
107,6,2002,31,14118,2559,3
108,2,2004,24,3726,2283,8
109,6,2003,63,15681,7188,3
110,6,2003,30,15374,2251,5
111,5,2003,37,6604,7094,13
112,6,2001,492,147747,12418,69
113,6,2003,59,36892,1634,8
114,4,2002,100,118377,8426,30
115,4,2002,20,28128,855,6
116,4,2002,45,29269,1412,8
117,6,2001,303,117322,8467,21
118,4,2005,23,5347,1092,10
119,4,2001,114,31224,7413,95
120,2,2001,500,236504,7276,23
121,5,2002,31,16164,1711,10
122,5,2001,500,81831,5707,16
123,5,2004,32,48050,1901,6
124,6,2006,48,12093,2450,17
125,6,2004,42,35628,268,2
126,5,2004,42,12733,1416,4
127,2,2004,282,259404,5815,19
128,6,2004,19,7300,598,10
129,6,2006,28,16960,310,2
130,2,2001,93,46520,1525,8
131,2,2003,33,12875,1390,10
132,2,2003,16,2776,1386,0
133,6,2003,44,57606,1668,3
134,1,2003,187,118689,4275,54
135,6,2001,56,61987,7124,77
136,5,2004,138,35374,3293,15
137,5,2003,110,281237,1197,6
138,5,2005,26,190678,1180,4
139,5,2002,390,1601927,4615,16
140,5,2005,104,175616,940,3
141,5,2006,24,4999,920,2
142,5,2003,42,126881,680,5
143,1,2002,403,129566,7073,56
144,4,2007,8,523,297,5
145,1,2005,11,587,539,9
146,5,2005,8,86,39,2
147,4,2006,4,284,214,3
148,6,2008,6,1995,635,0
149,6,2007,5,1699,443,2
150,6,2006,39,3848,1247,3
151,2,2002,43,100318,9409,68
152,2,2003,98,55572,7060,10
153,2,2001,168,39570,12319,67
154,2,2001,60,148383,10941,71
155,5,2003,80,11684,11604,20
156,5,2004,18,9797,1329,2
157,5,2001,98,24204,8113,36
158,5,2003,16,6788,3005,18
159,1,2004,11,4345,1130,4
160,2,2002,109,38836,8417,63
161,5,2001,500,308882,16231,69
162,5,2004,12,5629,2060,10
163,2,2002,70,34514,11611,82
164,2,2003,12,16621,2826,9
165,2,2005,7,1462,1041,8
166,5,2005,10,1028,817,9
167,5,2004,18,8704,1052,9
168,2,2002,30,17781,4250,23
169,5,2005,10,1228,1050,7
170,5,2004,41,16131,3705,21
171,2,2005,8,1640,4751,7
172,2,2004,16,5942,8118,28
173,5,2002,139,35806,7431,40
174,4,2004,22,3257,2564,18
175,4,2003,80,43225,765,18
176,5,2011,3,40,116,2
177,1,2003,54,30719,11587,60
178,5,2002,159,314988,4768,12
179,6,2005,10,1113,145,1
