Page ID,Categories,Year of First Edit,Edit Counts,Page Views,Number of Words,Number of Images,U-P/E,Page Views-label,Edit Counts-label
0,3,2001,79,59177,2828,5,0.7822318711163138,4,2
1,3,2001,244,157576,6228,14,0.6743881010842796,5,5
2,3,2004,50,106423,1883,4,2.2226708116886984,5,2
3,3,2002,80,192521,4551,9,2.5130305909972463,5,2
4,3,2004,34,9943,1173,3,0.30538533356374103,3,1
5,6,2004,11,6553,1107,4,0.622095609416114,3,1
6,3,2001,500,323461,7055,22,0.6755563397194574,5,11
7,3,2002,124,229728,7891,19,1.9346477379966271,5,3
8,3,2003,35,26663,4535,6,0.7955191191492678,4,1
9,4,2001,135,165652,8539,42,1.281364148510978,5,3
10,6,2001,88,114508,7677,30,1.3588227537582096,5,2
11,4,2001,174,118314,4890,36,0.7100624433286142,5,4
12,3,2001,113,89925,6420,36,0.831020345263987,4,3
13,3,2004,56,30307,2457,6,0.5651510975897512,4,2
14,3,2002,54,58566,2595,12,1.132560619879234,4,2
15,3,2005,24,28400,545,12,1.235710542128249,4,1
16,1,2001,500,2464520,17597,144,5.147211287807176,6,11
17,4,2001,194,105346,7915,27,0.5670560306564942,5,4
18,5,2001,260,258292,9816,57,1.03740242908144,5,6
19,4,2001,195,114660,3920,20,0.6140263088209102,5,4
20,4,2002,87,212578,8410,41,2.551577228018834,5,2
21,3,2006,28,15639,1771,3,0.5832578622236526,4,1
22,4,2001,191,117951,1253,15,0.6448785229167574,5,4
23,3,2001,53,33560,809,5,0.6612348518813294,4,2
24,3,2001,55,94861,2147,20,1.8010868794390962,4,2
25,2,2001,245,267007,6548,33,1.1380627699524144,5,5
26,3,2002,40,26446,605,0,0.6904141055730354,4,1
27,6,2018,50,7129,525,2,0.1488909372647711,3,2
28,3,2005,198,185560,7344,38,0.9786532146705844,5,4
29,4,2001,500,462387,7384,50,0.9657067444107967,5,11
30,4,2001,275,423995,7740,37,1.6100438145239446,5,6
31,4,2001,65,186619,8259,34,2.998141698740174,5,2
32,6,2001,39,128561,6968,41,3.4423441604886205,5,1
33,6,2001,205,274852,5117,58,1.4000859385435942,5,5
34,3,2003,54,144186,2049,8,2.7882967171722024,5,2
35,3,2001,346,152969,4535,11,0.4616756637274676,5,7
36,3,2005,65,75128,2453,7,1.206974582132322,4,2
37,3,2001,103,97838,2938,9,0.9919276468268314,4,3
38,3,2001,478,177465,5869,20,0.38769881199621026,5,10
39,3,2001,86,164231,2827,8,1.9941891062325368,5,2
40,3,2004,50,100567,1644,7,2.100366795890901,5,2
41,3,2004,14,42609,516,2,3.178212705606191,4,1
42,1,2001,500,1550913,17473,93,3.239120356096478,6,11
43,3,2001,61,165517,3225,18,2.8334948298514164,5,2
44,3,2004,51,61824,2912,10,1.265891773927703,4,2
45,3,2004,19,14940,608,0,0.8211200370376297,4,1
46,2,2004,12,7754,1137,10,0.6747675734973552,3,1
47,3,2002,132,81758,6350,13,0.6467939981006491,4,3
48,3,2006,13,12625,624,2,1.0141394752569326,4,1
49,3,2003,80,68176,5611,13,0.8899204428183329,4,2
50,3,2002,112,35506,5859,14,0.3310498378431007,4,3
51,1,2001,500,1113846,9610,55,2.326295061139237,6,11
52,1,2001,401,417567,12900,146,1.0874053119557443,5,9
53,4,2002,167,80075,1616,23,0.5007144555667684,4,4
54,3,2005,19,28748,1763,6,1.5800240177214042,4,1
55,3,2004,31,62190,1729,4,2.094925178054225,4,1
56,3,2004,61,52999,1252,3,0.9072928610794977,4,2
57,1,2001,248,170225,10813,74,0.7167724683113853,5,5
58,2,2004,13,9531,255,2,0.7656050169246593,3,1
59,6,2006,23,6207,451,2,0.28181464794819505,3,1
60,6,2002,194,135101,3941,19,0.7272211265517725,5,4
61,5,2004,48,13347,951,6,0.29037022193284756,4,1
62,5,2008,9,1722,329,1,0.19980221160045494,3,1
63,6,2001,407,115388,5222,33,0.29605737903954266,5,9
64,1,2001,312,100840,11792,99,0.3375109725574557,5,7
65,6,2004,23,8722,2855,1,0.39600247452942766,3,1
66,4,2001,204,96815,2157,26,0.49558954488875906,4,5
67,2,2003,275,169821,8799,43,0.6448643277073334,5,6
68,2,2001,248,625583,7838,27,2.6341646117999202,5,5
69,6,2002,155,86157,8781,58,0.5804549559916959,4,4
70,2,2002,405,345511,11120,35,0.8908744603469452,5,9
71,4,2001,51,82784,4565,25,1.6950631569104389,4,2
72,5,2004,500,1533982,13705,75,3.203759541692917,6,11
73,1,2001,500,163869,11814,91,0.3422444802726998,5,11
74,1,2002,91,20414,4083,28,0.23425904665227748,4,2
75,5,2001,181,428980,9242,44,2.474959653079961,5,4
76,6,2004,457,1367929,6810,36,3.125769937774747,6,10
77,6,2007,32,10930,2663,6,0.356680886235786,4,1
78,2,2001,461,651107,17523,51,1.4748949630995043,5,10
79,5,2001,248,914877,12515,29,3.8523051578282583,5,5
80,1,2002,69,26624,2922,18,0.4029339555863136,4,2
81,1,2003,139,72831,3283,24,0.5471559499062267,4,3
82,1,2004,8,1329,212,8,0.17347809617835666,3,1
83,6,2008,7,184,465,0,0.027449183873432335,2,1
84,2,2007,16,849,1150,10,0.0554111751901523,2,1
85,4,2003,103,52620,3915,14,0.53348630160089,4,3
86,6,2002,11,1968,1857,4,0.1868280420160098,3,1
87,4,2004,20,14371,1783,25,0.7503547690531719,4,1
88,6,2007,13,3303,685,4,0.265322985090982,3,1
89,6,2009,11,1537,634,3,0.14591194135091823,3,1
90,5,2005,20,1415,1920,10,0.07388156692020306,3,1
91,6,2005,500,2780456,14041,135,5.807051477955622,6,11
92,5,2001,500,752495,14535,89,1.5716045144768398,5,11
93,1,2002,53,8316,2476,11,0.16385068618132106,3,2
94,4,2002,103,86645,2138,23,0.8784477499469615,4,3
95,1,2001,297,134390,8443,60,0.472519959472515,5,6
96,1,2005,0,378,500,2,,2,1
97,1,2002,311,32486,4772,142,0.10908009421197853,4,7
98,6,2008,37,74443,1065,3,2.101027785785761,4,1
99,1,2002,10,1013,1139,11,0.10578378415571124,3,1
100,1,2001,146,258555,6853,46,1.8493100861661362,5,3
101,4,2005,65,10256,1072,7,0.1647685458730313,4,2
102,4,2006,80,17003,1029,7,0.22194492620922485,4,2
103,2,2004,44,14465,1658,4,0.34330127385182696,4,1
104,2,2004,36,6493,3201,2,0.18834433216053337,3,1
105,1,2003,58,38922,5145,53,0.7007721086068341,4,2
106,2,2003,14,11555,1066,2,0.8618894555910616,4,1
107,6,2002,31,14118,2559,3,0.4755773221381178,4,1
108,2,2004,24,3726,2283,8,0.16212174225245973,3,1
109,6,2003,63,15681,7188,3,0.2599218914971573,4,2
110,6,2003,30,15374,2251,5,0.5351496866106958,4,1
111,5,2003,37,6604,7094,13,0.18638673209474588,3,1
112,6,2001,492,147747,12418,69,0.3135907342284824,5,10
113,6,2003,59,36892,1634,8,0.6529649079044455,4,2
114,4,2002,100,118377,8426,30,1.2361665367226684,5,3
115,4,2002,20,28128,855,6,1.4686506815063407,4,1
116,4,2002,45,29269,1412,8,0.6792114902826615,4,1
117,6,2001,303,117322,8467,21,0.4043397914476934,5,7
118,4,2005,23,5347,1092,10,0.24276831361027856,3,1
119,4,2001,114,31224,7413,95,0.28601798345005525,4,3
120,2,2001,500,236504,7276,23,0.49394448347408354,5,11
121,5,2002,31,16164,1711,10,0.544498642515975,4,1
122,5,2001,500,81831,5707,16,0.17090607781334663,4,11
123,5,2004,32,48050,1901,6,1.568025304998126,4,1
124,6,2006,48,12093,2450,17,0.26308886594994574,4,1
125,6,2004,42,35628,268,2,0.8858329013067457,4,1
126,5,2004,42,12733,1416,4,0.3165855600184909,4,1
127,2,2004,282,259404,5815,19,0.960588125472689,5,6
128,6,2004,19,7300,598,10,0.4012166178296317,3,1
129,6,2006,28,16960,310,2,0.6325246718660494,4,1
130,2,2001,93,46520,1525,8,0.5223557875493516,4,2
131,2,2003,33,12875,1390,10,0.40742056926763653,4,1
132,2,2003,16,2776,1386,0,0.18117953159936723,3,1
133,6,2003,44,57606,1668,3,1.3671768531979498,4,1
134,1,2003,187,118689,4275,54,0.6627939227295011,5,4
135,6,2001,56,61987,7124,77,1.1559052722570993,4,2
136,5,2004,138,35374,3293,15,0.26767926954834464,4,3
137,5,2003,110,281237,1197,6,2.6698657546979954,5,3
138,5,2005,26,190678,1180,4,7.658379677744213,5,1
139,5,2002,390,1601927,4615,16,4.289313286283597,6,8
140,5,2005,104,175616,940,3,1.7633576048190243,5,3
141,5,2006,24,4999,920,2,0.21751116197532103,3,1
142,5,2003,42,126881,680,5,3.154691937540732,5,1
143,1,2002,403,129566,7073,56,0.33573425806742824,5,9
144,4,2007,8,523,297,5,0.06826865635912757,2,1
145,1,2005,11,587,539,9,0.0557256405809948,2,1
146,5,2005,8,86,39,2,0.011225821122150996,1,1
147,4,2006,4,284,214,3,0.07414263252769494,2,1
148,6,2008,6,1995,635,0,0.3472172579642052,3,1
149,6,2007,5,1699,443,2,0.3548403737029682,3,1
150,6,2006,39,3848,1247,3,0.10303389309013007,3,1
151,2,2002,43,100318,9409,68,2.436239963941468,5,1
152,2,2003,98,55572,7060,10,0.5921607322260799,4,2
153,2,2001,168,39570,12319,67,0.24596109734413893,4,4
154,2,2001,60,148383,10941,71,2.5825132024312114,5,2
155,5,2003,80,11684,11604,20,0.15251452789675843,4,2
156,5,2004,18,9797,1329,2,0.568368834799552,3,1
157,5,2001,98,24204,8113,36,0.2579115087238184,4,2
158,5,2003,16,6788,3005,18,0.44302833591372653,3,1
159,1,2004,11,4345,1130,4,0.4124836598371761,3,1
160,2,2002,109,38836,8417,63,0.3720639975249465,4,3
161,5,2001,500,308882,16231,69,0.645107735786464,5,11
162,5,2004,12,5629,2060,10,0.48984610152393765,3,1
163,2,2002,70,34514,11611,82,0.5148810501128498,4,2
164,2,2003,12,16621,2826,9,1.446390487374199,4,1
165,2,2005,7,1462,1041,8,0.2181016675160765,3,1
166,5,2005,10,1028,817,9,0.10735017780066254,3,1
167,5,2004,18,8704,1052,9,0.5049588994687455,3,1
168,2,2002,30,17781,4250,23,0.6189343422417577,4,1
169,5,2005,10,1228,1050,7,0.12823542640001323,3,1
170,5,2004,41,16131,3705,21,0.4108535916538122,4,1
171,2,2005,8,1640,4751,7,0.21407379814334457,3,1
172,2,2004,16,5942,8118,28,0.3878129599291931,3,1
173,5,2002,139,35806,7431,40,0.26899899688789597,4,3
174,4,2004,22,3257,2564,18,0.15459830610928452,3,1
175,4,2003,80,43225,765,18,0.5642280441918335,4,2
176,5,2011,3,40,116,2,0.013923499066233793,1,1
177,1,2003,54,30719,11587,60,0.5940499552994942,4,2
178,5,2002,159,314988,4768,12,2.0687429829598347,5,4
179,6,2005,10,1113,145,1,0.11622640845538659,3,1
